species,region,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95
All Poultry,National,Village,Juvenile,Juvenile,Overall,2017,Production loss,External,7364477854.86114,3202301017.32987,7166000828.61265,7562954881.10963
All Poultry,National,Village,Juvenile,Juvenile,Overall,2017,Production loss,Infectious,14793893334.8082,6206215728.46001,14409235167.0172,15178551502.5992
All Poultry,National,Village,Juvenile,Juvenile,Overall,2017,Production loss,Non-infectious,14200933004.1992,5996741681.42059,13829257933.7834,14572608074.615
All Poultry,National,Village,Juvenile,Juvenile,Overall,2018,Mortality,External,168335960.523616,26332263.4196431,166703899.917933,169968021.129299
All Poultry,National,Village,Juvenile,Juvenile,Overall,2018,Mortality,Infectious,457084616.027718,32812085.6675802,455050939.258087,459118292.79735
All Poultry,National,Village,Juvenile,Juvenile,Overall,2018,Mortality,Non-infectious,230823664.948119,26373019.7322436,229189078.286428,232458251.609811
All Poultry,National,Village,Juvenile,Juvenile,Overall,2018,Production loss,External,7732701747.6042,3362416068.19637,7524300870.04329,7941102625.16511
All Poultry,National,Village,Juvenile,Juvenile,Overall,2018,Production loss,Infectious,15533588001.5486,6516526514.88301,15129696925.3681,15937479077.7292
All Poultry,National,Village,Juvenile,Juvenile,Overall,2018,Production loss,Non-infectious,14910979654.4091,6296578765.49162,14520720830.4725,15301238478.3457
All Poultry,National,Village,Juvenile,Juvenile,Overall,2019,Mortality,External,176752758.549797,27648876.5906252,175039094.913829,178466422.185764
All Poultry,National,Village,Juvenile,Juvenile,Overall,2019,Mortality,Infectious,479938846.829105,34452689.9509574,477803486.220991,482074207.437218
All Poultry,National,Village,Juvenile,Juvenile,Overall,2019,Mortality,Non-infectious,242364848.195525,27691670.718856,240648532.200749,244081164.190301
All Poultry,National,Village,Juvenile,Juvenile,Overall,2019,Production loss,External,8119336834.98441,3530536871.60618,7900515913.54545,8338157756.42337
All Poultry,National,Village,Juvenile,Juvenile,Overall,2019,Production loss,Infectious,16310267401.6261,6842352840.62716,15886181771.6365,16734353031.6157
All Poultry,National,Village,Juvenile,Juvenile,Overall,2019,Production loss,Non-infectious,15656528637.1296,6611407703.7662,15246756871.9962,16066300402.263
All Poultry,National,Village,Juvenile,Juvenile,Overall,2020,Mortality,External,185590396.477287,29031320.4201563,183791049.659521,187389743.295052
All Poultry,National,Village,Juvenile,Juvenile,Overall,2020,Mortality,Infectious,503935789.170561,36175324.4485037,501693660.532042,506177917.809079
All Poultry,National,Village,Juvenile,Juvenile,Overall,2020,Mortality,Non-infectious,254483090.605302,29076254.2547991,252680958.810787,256285222.399817
